 2019-Nov-07 00:00, , , 13 21 16.35, -07 42 18.6,
 2019-Nov-12 00:00, , , 13 33 30.79, -08 56 28.5,
 2019-Nov-17 00:00, , , 13 45 52.22, -10 09 14.8,
 2019-Nov-22 00:00, , , 13 58 21.42, -11 20 24.9,
 2019-Nov-27 00:00, , , 14 10 58.94, -12 29 44.7,
 2019-Dec-02 00:00, , , 14 23 45.12, -13 36 59.0,
 2019-Dec-07 00:00, , , 14 36 40.37, -14 41 52.9,
 2019-Dec-12 00:00, , , 14 49 45.19, -15 44 12.4,
 2019-Dec-17 00:00, , , 15 03 00.12, -16 43 44.0,
 2019-Dec-22 00:00, , , 15 16 25.47, -17 40 13.8,
 2019-Dec-27 00:00, , , 15 30 01.24, -18 33 26.6,
 2020-Jan-01 00:00, , , 15 43 47.21, -19 23 07.0,
 2020-Jan-06 00:00, , , 15 57 43.23, -20 09 00.9,
 2020-Jan-11 00:00, , , 16 11 49.17, -20 50 55.3,
 2020-Jan-16 00:00, , , 16 26 04.88, -21 28 38.1,
 2020-Jan-21 00:00, , , 16 40 29.87, -22 01 57.6,
 2020-Jan-26 00:00, , , 16 55 03.27, -22 30 41.6,
 2020-Jan-31 00:00, , , 17 09 44.05, -22 54 39.7,
 2020-Feb-05 00:00, , , 17 24 31.28, -23 13 43.2,
 2020-Feb-10 00:00, , , 17 39 24.12, -23 27 45.4,
 2020-Feb-15 00:00, , , 17 54 21.69, -23 36 41.1,
 2020-Feb-20 00:00, , , 18 09 22.76, -23 40 26.2,
 2020-Feb-25 00:00, , , 18 24 25.79, -23 38 58.3,
 2020-Mar-01 00:00, , , 18 39 29.31, -23 32 17.2,
 2020-Mar-06 00:00, , , 18 54 32.05, -23 20 25.1,
 2020-Mar-11 00:00, , , 19 09 33.05, -23 03 25.8,
 2020-Mar-16 00:00, , , 19 24 31.35, -22 41 24.9,
 2020-Mar-21 00:00, , , 19 39 25.66, -22 14 29.7,
 2020-Mar-26 00:00, , , 19 54 14.59, -21 42 49.8,
 2020-Mar-31 00:00, , , 20 08 57.02, -21 06 36.8,
 2020-Apr-05 00:00, , , 20 23 32.21, -20 26 03.7,
 2020-Apr-10 00:00, , , 20 37 59.76, -19 41 23.7,
 2020-Apr-15 00:00, , , 20 52 19.24, -18 52 51.5,
 2020-Apr-20 00:00, , , 21 06 29.83, -18 00 44.1,
 2020-Apr-25 00:00, , , 21 20 30.78, -17 05 20.2,
 2020-Apr-30 00:00, , , 21 34 21.59, -16 06 59.3,
 2020-May-05 00:00, , , 21 48 02.16, -15 06 00.7,
 2020-May-10 00:00, , , 22 01 32.66, -14 02 42.8,
 2020-May-15 00:00, , , 22 14 52.94, -12 57 25.4,
 2020-May-20 00:00, , , 22 28 02.42, -11 50 31.4,
 2020-May-25 00:00, , , 22 41 00.50, -10 42 24.6,
 2020-May-30 00:00, , , 22 53 46.82, -09 33 28.3,
